Start Date,End Date
10/29/06,5/19/07
6/10/06,7/10/07
12/15/06,6/4/09
4/9/06,8/11/06
9/26/06,1/24/07
2/6/06,2/26/06
2/26/06,1/30/07
2/23/06,3/10/07
5/31/06,11/25/08
10/15/06,6/20/10
3/20/06,12/23/06
1/19/06,2/20/07
6/16/06,10/21/10
3/6/06,12/28/06
11/21/06,2/28/07
1/19/06,9/15/06
9/14/06,11/27/06
2/26/06,7/20/07
1/30/06,2/20/06
7/4/06,8/10/06
3/28/06,4/17/07
4/5/06,3/14/10
4/30/06,3/31/07
9/1/06,3/31/07
3/18/06,9/26/07
5/7/06,11/9/09
5/3/06,6/14/06
8/20/06,1/21/07
11/28/06,3/18/08
11/10/06,9/15/09
3/13/06,12/19/06
8/29/06,5/25/08
11/16/06,3/2/07
8/26/06,11/30/07
12/27/06,3/1/08
1/6/06,3/9/06
5/18/06,8/21/06
4/29/06,12/18/09
1/23/06,11/9/07
5/16/06,6/4/07
10/1/06,10/4/07
3/6/06,12/29/06
9/28/06,10/22/06
2/14/06,5/22/06
3/1/06,4/13/06
6/17/06,9/8/10
9/13/06,5/11/09
5/16/06,8/27/08
5/11/06,11/6/07
12/24/06,10/18/11
5/9/06,8/21/06
2/6/06,9/17/06
4/30/06,3/23/08
7/7/06,2/26/09
2/17/06,9/29/08
7/19/06,2/10/10
5/28/06,11/7/08
5/17/06,9/21/06
2/21/06,1/3/08
9/20/06,11/7/06
1/3/06,1/20/08
5/12/06,3/25/08
4/30/06,1/7/08
7/5/06,6/20/07
6/12/06,2/18/07
8/27/06,10/26/08
2/28/06,3/5/07
11/26/06,11/8/08
6/25/06,12/30/06
6/17/06,6/6/09
7/23/06,11/30/08
1/23/06,4/14/07
1/4/06,8/29/06
8/23/06,1/16/10
6/17/06,10/29/06
5/1/06,9/7/06
4/29/06,8/22/07
9/5/06,9/29/06
6/12/06,11/17/07
3/13/06,7/27/07
2/22/06,12/5/06
3/8/06,1/27/08
8/15/06,4/27/07
3/18/06,5/29/07
8/3/06,10/8/08
4/19/06,5/3/07
11/14/06,4/28/09
10/31/06,7/5/08
8/13/06,1/6/09
6/5/06,11/2/07
5/9/06,9/8/07
5/7/06,9/20/06
3/8/06,8/22/07
9/27/06,11/7/07
3/22/06,9/6/06
5/18/06,2/10/07
10/2/06,4/8/07
3/21/06,2/8/08
10/16/06,3/17/07
8/9/06,2/24/07
5/1/06,10/21/06
1/18/06,3/11/07
4/26/06,8/11/06
11/5/06,7/17/07
5/12/06,9/25/06
1/21/06,4/28/06
4/3/06,8/8/07
9/22/06,2/13/07
8/14/06,12/31/10
3/26/06,8/19/07
11/1/06,2/17/07
10/21/06,1/6/09
5/27/06,5/15/08
3/8/06,2/7/07
3/22/06,9/1/09
3/4/06,7/18/06
11/14/06,1/26/09
2/12/06,9/5/06
6/26/06,10/4/06
1/1/06,7/26/07
11/19/06,3/27/07
11/27/06,6/1/07
10/7/06,8/11/07
12/7/06,5/14/07
6/19/06,11/22/06
5/14/06,9/8/06
8/9/06,11/3/07
1/17/06,5/14/07
5/22/06,2/27/07
2/11/06,1/14/08
3/26/06,12/22/08
7/15/06,12/5/07
2/20/06,9/14/08
2/21/06,1/20/08
9/7/06,5/26/13
1/16/06,3/15/06
3/9/06,9/19/06
10/22/06,8/25/08
3/22/06,7/1/07
3/14/06,10/28/06
4/30/06,1/8/07
9/10/06,9/14/06
11/6/06,1/4/08
10/3/06,5/11/07
9/2/06,9/20/07
11/12/06,10/10/09
5/25/06,6/23/06
9/26/06,8/5/07
11/29/06,7/20/10
8/6/06,6/17/07
2/15/06,12/5/08
3/26/06,12/31/06
10/7/06,1/16/07
8/31/06,10/5/09
8/20/06,10/9/09
7/22/06,11/12/09
9/24/06,2/8/10
7/19/06,4/13/08
1/6/06,10/12/07
7/25/06,8/21/08
1/23/06,4/21/07
2/6/06,3/28/09
9/13/06,6/29/09
1/28/06,6/24/08
3/26/06,7/22/06
7/20/06,8/22/06
11/4/06,4/11/09
12/13/06,8/16/07
9/5/06,5/11/10
10/21/06,12/29/06
5/29/06,3/15/07
6/3/06,5/19/08
10/21/06,11/11/06
6/3/06,6/7/07
4/26/06,3/11/08
11/10/06,10/28/07
9/23/06,6/13/09
12/31/06,7/29/07
11/4/06,6/2/09
11/25/06,8/22/08
3/27/06,11/5/07
10/10/06,8/11/07
8/18/06,12/5/07
5/21/06,1/25/07
9/20/06,7/22/07
7/29/06,1/24/09
9/14/06,7/10/09
9/26/06,12/27/08
9/19/06,12/18/07
7/12/06,10/15/06
10/17/06,7/12/12
12/17/06,8/21/07
11/11/06,7/5/10
1/19/06,5/7/08
4/22/06,5/28/08
3/7/06,4/10/08
9/26/06,11/25/07
9/12/06,2/2/07
7/15/06,10/16/07
10/29/06,7/1/07
6/1/06,5/5/13
4/22/06,3/14/07
5/1/06,1/2/10
11/28/06,3/20/11
1/1/07,8/25/09
4/6/06,7/19/06
2/13/06,2/15/08
1/13/06,12/30/06
1/2/06,8/4/07
11/1/06,2/4/10
6/12/06,7/16/10
2/27/06,3/7/06
2/18/06,3/1/06
6/30/06,12/27/09
1/11/06,12/6/09
4/15/06,11/7/07
9/1/06,12/27/07
8/15/06,8/15/10
3/15/06,6/10/08
11/22/06,6/19/07
12/1/06,10/30/09
5/22/06,7/27/08
1/6/06,8/29/06
6/8/06,8/13/06
4/18/06,9/18/06
8/16/06,3/27/08
10/15/06,9/1/07
12/18/06,8/21/08
1/26/06,7/18/06
1/25/06,4/10/07
1/23/06,7/2/07
9/9/06,7/30/08
9/4/06,7/23/07
7/3/06,11/8/08
2/2/06,2/20/06
4/30/06,10/2/10
6/30/06,4/16/07
11/6/06,1/5/07
1/29/06,1/21/12
3/1/06,5/11/07
6/12/06,4/15/07
5/8/06,4/29/08
5/8/06,2/5/08
9/16/06,6/16/08
3/31/06,8/16/07
1/24/06,3/16/07
8/12/06,6/15/09
10/22/06,12/10/06
5/20/06,5/22/10
12/31/05,7/29/06
8/5/06,12/29/09
3/18/06,9/3/08
9/4/06,2/12/09
11/28/06,12/17/07
3/4/06,9/17/07
11/23/06,8/26/07
5/23/06,1/13/07
11/5/06,4/20/10
4/17/06,9/17/07
12/12/06,5/12/08
4/15/06,3/3/07
10/26/06,9/17/07
1/13/06,7/14/07
8/14/06,3/24/07
10/16/06,7/26/08
1/10/06,11/19/06
1/18/06,3/18/08
3/1/06,5/14/09
9/28/06,7/1/09
12/25/06,9/26/08
4/23/06,5/4/09
1/23/06,5/10/06
7/8/06,11/20/11
12/23/06,3/6/09
12/17/06,3/23/10
6/28/06,5/24/07
11/11/06,5/21/07
9/6/06,2/21/07
3/6/06,9/30/07
6/13/06,12/7/07
11/15/06,12/5/08
8/29/06,12/14/06
11/25/06,6/10/07
11/20/06,5/24/07
10/27/06,3/13/07
3/30/06,1/2/07
4/7/06,1/9/07
4/27/06,10/12/11
10/10/06,7/6/08
7/15/06,11/12/07
3/20/06,4/4/07
3/18/06,5/30/08
1/3/06,4/14/12
10/9/06,3/29/07
5/8/06,7/5/06
4/15/06,1/9/07
12/18/06,2/1/07
3/24/06,6/28/07
7/22/06,2/29/08
2/17/06,4/18/08
7/26/06,2/8/07
12/23/06,4/26/07
9/9/06,7/8/07
11/2/06,10/14/08
2/12/06,8/12/10
1/21/06,7/24/06
4/11/06,12/15/08
6/10/06,2/23/07
2/27/06,9/19/06
8/18/06,11/29/09
1/13/06,2/19/07
8/6/06,4/13/08
7/4/06,6/6/08
5/29/06,6/29/11
5/12/06,2/4/07
4/27/06,3/16/08
11/21/06,12/13/07
8/29/06,2/16/07
6/11/06,1/23/08
4/27/06,12/18/07
7/5/06,9/16/07
6/19/06,8/1/06
6/16/06,3/16/07
8/21/06,4/12/09
4/11/06,7/18/08
12/31/05,3/5/10
4/28/06,3/24/07
5/2/06,4/4/08
4/29/06,4/18/07
3/23/06,12/14/08
5/21/06,10/11/06
6/8/06,7/6/06
2/20/06,3/14/07
3/1/06,7/19/06
1/16/06,6/30/06
4/17/06,6/11/07
5/25/06,12/27/06
4/28/06,1/28/08
8/29/06,6/27/07
11/11/06,10/29/12
5/4/06,7/10/07
11/15/06,7/4/07
12/20/06,9/19/12
1/12/06,5/25/08
1/2/06,8/31/06
12/25/06,2/15/07
4/24/06,2/15/08
5/11/06,10/19/09
3/1/06,5/28/09
3/17/06,11/23/08
1/15/06,7/30/07
1/10/06,11/5/06
11/28/06,9/12/07
7/4/06,6/10/09
10/1/06,6/13/09
10/5/06,11/8/06
4/29/06,11/11/06
6/21/06,1/3/09
3/30/06,9/2/06
8/18/06,9/3/06
12/5/06,3/17/07
3/3/06,5/23/06
1/7/06,10/17/06
2/12/06,2/23/06
5/14/06,10/21/08
5/1/06,11/26/06
8/28/06,4/26/07
7/26/06,8/1/09
10/11/06,5/3/08
12/23/06,9/7/10
5/19/06,5/21/08
4/6/06,7/20/06
3/28/06,4/29/09
3/7/06,1/7/10
12/26/06,2/28/07
5/12/06,1/16/08
11/24/06,3/20/09
7/15/06,7/18/07
4/10/06,7/2/06
1/22/06,2/15/06
8/29/06,6/26/07
12/23/06,7/26/07
8/4/06,5/12/07
8/6/06,10/6/08
6/2/06,5/29/09
10/29/06,9/9/09
12/9/06,10/11/11
5/17/06,2/28/12
7/12/06,10/2/06
9/22/06,6/16/07
6/8/06,9/25/08
7/22/06,11/30/08
1/26/06,7/3/06
2/22/06,6/3/06
5/3/06,2/24/08
7/20/06,7/4/08
9/30/06,2/13/07
9/5/06,4/21/07
12/27/06,3/2/08
12/22/06,7/19/10
11/21/06,6/16/08
7/7/06,12/3/09
9/5/06,1/31/08
3/28/06,4/18/07
5/29/06,8/10/07
9/27/06,8/17/09
5/8/06,1/25/07
6/25/06,4/16/10
7/17/06,4/22/08
1/10/06,9/13/07
1/5/06,7/15/06
4/6/06,12/31/07
10/5/06,2/15/07
11/8/06,2/21/07
5/12/06,7/19/09
4/25/06,6/24/09
8/24/06,8/6/07
9/12/06,1/16/08
9/16/06,2/7/09
8/17/06,8/30/09
2/7/06,3/10/08
4/3/06,3/31/08
9/29/06,8/19/07
3/19/06,2/22/07
1/6/06,5/10/06
8/12/06,6/29/08
3/25/06,11/27/06
3/26/06,5/5/07
9/1/06,6/8/08
8/28/06,1/19/07
1/25/06,1/2/07
10/22/06,7/3/07
1/6/06,2/9/11
8/24/06,4/14/08
8/8/06,5/14/07
3/7/06,5/6/06
11/9/06,2/19/07
7/26/06,9/11/12
11/29/06,6/4/07
10/18/06,6/12/07
1/14/06,11/16/07
11/3/06,4/25/07
6/11/06,9/16/06
10/21/06,12/4/06
7/5/06,11/12/08
6/6/06,11/9/06
3/29/06,3/31/08
10/23/06,5/3/08
9/11/06,10/1/07
2/11/06,7/14/06
1/24/06,12/9/11
5/24/06,10/2/09
6/4/06,7/19/09
11/6/06,5/26/09
3/7/06,3/26/06
12/25/06,2/6/10
2/4/06,5/16/06
12/30/06,6/25/08
8/29/06,7/7/07
12/3/06,2/26/09
10/10/06,4/15/07
8/26/06,10/8/06
6/24/06,2/11/07
4/1/06,5/9/07
8/4/06,1/8/08
6/7/06,7/23/07
2/13/06,9/14/07
3/10/06,4/7/06
8/30/06,7/20/07
7/4/06,12/19/06
8/20/06,11/4/08
5/5/06,11/4/06
7/29/06,2/10/08
10/30/06,3/6/09
1/9/06,12/9/06
3/23/06,7/8/06
4/14/06,3/1/07
7/2/06,1/18/09
2/14/06,2/23/06
4/27/06,12/7/06
9/12/06,9/21/07
2/3/06,7/17/07
6/27/06,4/13/07
3/27/06,7/13/08
9/11/06,1/29/09
7/1/06,5/28/07
9/22/06,6/23/07
11/8/06,11/7/08
5/29/06,11/23/06
11/29/06,6/7/09
8/18/06,9/17/07
9/15/06,6/14/09
8/18/06,2/28/09
5/14/06,7/29/08
11/4/06,5/22/10
1/16/06,11/27/06
10/3/06,10/20/10
5/14/06,3/25/08
12/17/06,7/20/08
2/3/06,3/12/06
5/30/06,10/17/06
4/9/06,8/8/06
11/24/06,3/29/08
3/11/06,8/6/06
10/1/06,9/16/08
7/30/06,6/5/07
4/8/06,3/18/08
4/26/06,6/8/08
5/13/06,2/25/08
11/1/06,9/25/08
9/20/06,11/15/12
12/10/06,2/3/08
8/3/06,3/29/08
6/8/06,6/18/08
1/20/06,7/21/06
8/10/06,10/11/07
5/22/06,2/16/08
9/24/06,10/10/07
12/28/06,5/28/07
1/31/06,6/1/09
5/28/06,2/10/09
4/2/06,1/11/08
8/12/06,8/18/06
11/10/06,3/24/07
6/13/06,4/19/07
8/11/06,8/22/07
10/13/06,4/25/08
12/9/06,7/27/07
6/16/06,12/16/06
5/2/06,8/4/07
1/16/06,7/6/06
6/9/06,4/13/07
9/12/06,10/20/07
5/14/06,9/27/10
11/18/06,2/13/08
3/21/06,12/24/07
2/2/06,10/26/06
10/23/06,4/25/09
8/8/06,6/16/10
7/2/06,2/23/07
7/24/06,7/29/06
6/8/06,4/3/07
7/14/06,9/14/09
11/6/06,5/24/09
10/25/06,8/20/09
3/19/06,2/21/08
9/29/06,2/2/11
2/26/06,4/28/09
8/3/06,5/19/07
3/11/06,9/7/06
6/25/06,4/25/07
7/4/06,7/16/09
11/12/06,5/26/07
9/6/06,11/5/08
11/26/06,7/2/07
12/27/06,1/9/08
10/15/06,4/19/07
12/4/06,6/3/10
6/15/06,8/24/07
12/24/06,11/27/07
5/5/06,10/13/06
9/9/06,4/20/07
12/14/06,11/12/07
1/8/06,6/15/06
3/6/06,12/9/06
12/1/06,3/26/07
3/28/06,6/4/06
8/25/06,5/20/08
6/21/06,7/13/09
3/9/06,11/16/07
12/29/06,1/19/08
6/26/06,10/23/06
3/13/06,5/1/06
7/8/06,12/29/07
3/10/06,12/2/08
6/25/06,3/24/08
3/24/06,3/23/07
3/25/06,5/2/06
3/13/06,5/5/06
9/2/06,5/13/10
8/16/06,9/18/06
1/30/06,8/2/08
12/16/06,3/4/07
10/3/06,6/19/07
2/11/06,9/6/08
2/19/06,4/8/06
4/26/06,10/27/07
3/26/06,4/25/07
11/3/06,2/13/07
7/8/06,8/5/06
3/17/06,2/6/07
10/14/06,5/12/08
5/17/06,5/17/07
2/23/06,2/27/07
6/21/06,8/10/10
10/26/06,1/31/07
1/28/06,3/21/07
1/20/06,5/20/08
8/20/06,8/20/11
6/9/06,1/4/08
10/13/06,4/14/07
10/16/06,10/22/07
12/22/06,11/4/07
8/15/06,3/8/08
5/27/06,12/19/08
7/18/06,4/20/10
12/30/06,4/28/07
11/13/06,4/22/11
5/25/06,1/26/07
10/8/06,6/14/07
10/15/06,3/27/08
6/12/06,6/10/07
11/28/06,11/15/07
4/14/06,8/16/07
11/26/06,1/2/08
12/17/06,11/3/07
8/30/06,6/26/07
7/6/06,9/2/08
10/20/06,3/1/10
6/25/06,12/14/08
2/20/06,4/21/06
12/2/06,10/13/07
11/6/06,4/7/08
3/13/06,6/5/06
5/19/06,3/28/07
10/23/06,4/27/08
4/15/06,1/31/07
9/28/06,12/28/07
8/29/06,9/14/07
5/28/06,7/8/09
12/25/06,4/15/07
4/25/06,9/22/08
9/2/06,7/18/10
5/22/06,4/26/10
4/13/06,6/7/07
8/16/06,4/12/08
12/22/06,3/7/09
7/14/06,5/8/09
12/26/06,8/9/07
10/1/06,5/29/07
8/18/06,3/27/07
12/29/06,10/12/10
4/8/06,8/11/08
2/10/06,5/7/06
6/4/06,10/15/11
6/22/06,8/12/06
9/6/06,12/5/07
12/17/06,1/22/07
4/17/06,2/13/07
3/2/06,3/1/08
5/19/06,8/5/10
11/13/06,1/2/08
12/14/06,4/1/10
4/1/06,11/29/06
7/19/06,7/6/07
10/8/06,3/29/09
10/27/06,8/10/08
9/17/06,12/27/06
9/6/06,6/5/08
1/27/06,2/11/07
7/24/06,2/16/07
5/23/06,3/22/07
12/10/06,10/24/07
1/13/06,7/6/07
11/12/06,11/27/06
9/30/06,6/11/07
5/14/06,12/14/07
7/18/06,10/15/06
9/19/06,4/10/09
12/2/06,12/1/07
6/2/06,8/9/09
11/6/06,10/2/11
3/31/06,9/14/07
4/1/06,9/5/06
9/16/06,7/4/07
8/10/06,11/21/07
1/15/06,3/19/06
2/20/06,10/26/06
1/30/06,2/5/07
5/18/06,1/12/09
8/29/06,12/7/07
11/12/06,8/26/07
6/29/06,2/17/07
2/5/06,8/3/08
10/24/06,2/24/09
11/18/06,10/16/07
5/9/06,6/10/06
5/19/06,8/9/06
11/13/06,6/13/07
8/8/06,1/4/09
9/18/06,11/6/10
10/6/06,5/15/08
7/24/06,4/6/09
5/16/06,9/8/09
1/6/06,3/21/09
9/9/06,8/12/07
2/23/06,9/1/06
6/30/06,9/11/06
3/26/06,3/30/10
2/28/06,1/31/08
9/22/06,7/4/07
9/24/06,11/6/09
6/20/06,4/19/09
12/3/06,12/7/06
5/10/06,4/26/09
6/19/06,7/13/07
2/17/06,12/10/08
4/7/06,5/5/07
8/1/06,12/15/08
6/30/06,1/8/07
4/3/06,1/14/08
10/20/06,11/15/07
1/24/06,5/9/06
10/29/06,8/29/07
7/31/06,9/30/07
7/8/06,1/27/09
7/16/06,8/14/07
2/17/06,11/22/06
8/21/06,6/11/07
11/14/06,4/4/07
2/10/06,5/8/07
4/24/06,3/9/09
9/19/06,2/17/08
3/30/06,10/4/07
11/3/06,5/30/08
11/12/06,1/14/07
12/25/06,12/4/09
1/13/06,5/28/08
7/27/06,4/16/07
11/12/06,12/6/06
12/1/06,5/17/07
12/23/06,9/18/09
9/14/06,6/13/07
8/30/06,9/6/06
11/18/06,12/31/08
9/15/06,9/12/08
2/19/06,7/6/07
10/30/06,2/4/09
5/26/06,1/28/08
5/29/06,3/16/07
7/4/06,4/30/07
11/23/06,1/26/07
3/2/06,4/30/06
3/16/06,1/27/08
10/11/06,3/21/09
12/30/06,3/25/09
4/7/06,4/8/07
1/4/06,5/30/06
11/1/06,10/16/07
