Start Date,End Date
9/23/06,10/8/07
6/1/06,12/2/06
9/19/06,8/31/07
9/12/06,1/9/09
11/28/06,10/15/09
12/31/05,9/23/06
7/29/06,4/18/09
12/3/06,8/29/10
6/14/06,9/26/07
6/19/06,8/23/07
8/4/06,3/6/08
4/14/06,2/24/07
2/3/06,5/30/06
6/26/06,5/12/08
9/22/06,10/25/06
1/23/06,2/21/08
12/2/06,2/12/08
7/20/06,7/22/08
2/15/06,6/12/10
10/18/06,12/28/08
4/30/06,2/7/08
12/24/06,12/10/07
3/31/06,5/10/06
4/11/06,5/8/07
8/15/06,5/1/07
7/23/06,2/8/08
10/13/06,12/17/07
7/27/06,4/2/07
1/1/06,11/9/06
4/22/06,9/5/06
10/6/06,10/2/07
2/7/06,9/19/08
6/25/06,3/22/07
7/5/06,5/2/07
10/16/06,10/9/07
4/26/06,9/17/10
11/28/06,1/30/07
5/6/06,6/20/07
7/1/06,10/18/08
5/25/06,8/25/07
4/16/06,3/12/07
8/16/06,1/26/07
6/21/06,3/30/10
11/7/06,8/15/07
9/1/06,6/30/07
7/8/06,2/5/07
7/17/06,7/5/07
10/16/06,9/17/07
10/26/06,2/18/08
3/18/06,5/21/06
5/3/06,5/11/09
9/27/06,9/29/09
5/12/06,8/9/06
7/12/06,10/19/07
5/21/06,6/29/08
11/25/06,5/12/10
11/20/06,1/29/09
9/6/06,6/12/08
8/1/06,4/22/07
7/12/06,9/14/07
8/8/06,2/11/07
2/22/06,4/21/08
2/24/06,8/24/09
8/16/06,8/13/07
7/20/06,12/6/07
2/2/06,6/1/08
2/26/06,7/29/06
3/17/06,7/26/06
1/7/06,12/21/08
12/10/06,4/13/07
3/1/06,4/26/07
12/29/06,12/22/07
1/2/06,3/5/07
1/10/06,2/7/07
10/1/06,5/16/07
6/24/06,1/11/07
2/20/06,2/26/06
4/2/06,9/29/07
4/1/06,1/14/09
12/25/06,10/4/07
11/5/06,2/3/08
3/30/06,5/26/07
10/9/06,5/4/07
11/6/06,7/20/07
2/10/06,2/16/06
8/15/06,9/12/07
10/18/06,12/22/06
9/7/06,11/28/08
11/11/06,1/19/07
2/7/06,12/1/06
2/27/06,9/26/07
4/16/06,3/16/07
1/13/06,2/12/07
12/18/06,6/23/07
6/25/06,2/12/09
11/24/06,12/27/07
2/10/06,11/5/07
6/14/06,1/17/07
1/4/06,10/12/08
2/4/06,3/28/09
1/14/06,5/28/09
7/27/06,5/23/08
4/14/06,8/23/08
6/9/06,4/4/07
3/6/06,5/7/10
10/7/06,5/26/07
10/17/06,3/15/08
5/10/06,1/22/07
6/16/06,5/6/07
3/28/06,4/21/06
8/2/06,12/19/06
11/26/06,5/31/07
3/13/06,3/7/10
1/26/06,9/29/08
12/29/06,11/1/08
8/27/06,11/20/07
11/4/06,1/3/07
4/25/06,9/26/09
9/10/06,12/11/06
1/2/06,4/20/07
12/14/06,1/17/09
10/29/06,2/6/12
4/16/06,5/5/06
4/26/06,12/3/06
6/13/06,12/12/07
9/21/06,12/16/07
11/19/06,3/6/11
6/1/06,8/28/07
3/28/06,8/26/06
10/23/06,7/3/09
10/14/06,2/12/10
8/24/06,11/25/07
4/13/06,9/3/09
1/3/06,12/12/09
12/8/06,1/22/07
10/16/06,3/5/08
7/19/06,2/9/07
4/5/06,4/10/07
1/9/06,4/13/07
7/31/06,8/1/09
3/23/06,5/21/07
2/17/06,7/27/06
1/3/06,9/12/06
5/30/06,8/6/06
6/30/06,7/5/08
2/20/06,4/14/10
7/25/06,1/1/07
5/5/06,5/11/07
5/10/06,3/20/09
9/6/06,12/31/06
8/6/06,3/6/08
10/9/06,11/29/11
8/8/06,12/12/07
2/25/06,10/26/06
5/15/06,1/28/07
9/24/06,6/3/09
9/25/06,3/4/07
3/15/06,9/4/08
2/12/06,7/8/06
3/25/06,11/16/07
4/22/06,7/9/07
11/7/06,1/13/09
7/11/06,3/5/07
1/17/06,11/5/06
7/15/06,4/12/07
2/4/06,1/16/08
1/22/06,6/3/06
7/26/06,7/19/08
4/21/06,4/2/07
8/27/06,2/17/07
3/3/06,1/22/08
9/13/06,5/17/08
2/22/06,11/21/08
9/11/06,7/28/07
11/23/06,11/9/08
8/17/06,10/23/07
4/13/06,2/10/11
1/11/06,7/24/07
9/21/06,8/27/08
10/21/06,9/24/08
4/27/06,8/7/06
4/26/06,6/13/08
10/7/06,4/1/07
2/21/06,3/19/09
4/11/06,12/27/06
6/28/06,7/27/06
9/1/06,1/6/09
10/8/06,3/31/07
12/20/06,3/29/09
9/19/06,9/25/07
1/23/06,8/21/07
1/7/06,11/12/07
1/25/06,6/20/07
7/30/06,11/7/10
6/28/06,11/3/08
7/5/06,7/10/06
3/17/06,11/14/07
4/19/06,7/13/08
6/14/06,2/20/08
10/16/06,8/11/11
10/10/06,5/6/09
5/4/06,4/16/10
6/28/06,5/8/07
8/11/06,7/31/09
3/3/06,1/29/09
3/14/06,6/3/07
10/5/06,8/9/07
4/18/06,3/25/08
1/3/06,6/16/06
12/12/06,1/7/09
10/3/06,3/23/07
8/22/06,8/13/09
5/12/06,6/13/09
7/21/06,3/23/07
3/28/06,9/11/06
11/29/06,1/20/08
3/2/06,3/8/06
9/29/06,3/23/07
9/28/06,3/5/07
9/23/06,9/7/07
1/26/06,11/26/06
7/28/06,11/16/06
11/8/06,2/17/08
10/2/06,3/10/07
8/7/06,8/14/06
6/1/06,11/7/08
8/27/06,3/3/07
3/30/06,1/2/07
11/16/06,3/1/10
12/29/06,10/25/08
3/31/06,2/10/07
8/28/06,6/15/08
10/11/06,8/15/10
4/17/06,10/23/07
12/13/06,9/2/07
4/4/06,4/7/08
3/16/06,1/24/08
10/9/06,3/12/08
9/24/06,9/8/07
5/24/06,11/18/07
9/16/06,3/10/07
11/27/06,7/13/07
10/21/06,4/22/07
5/27/06,1/2/07
6/13/06,7/2/09
1/16/06,5/25/06
10/16/06,12/12/09
6/27/06,3/7/07
1/27/06,8/3/07
9/28/06,3/16/07
6/4/06,10/28/06
6/23/06,10/28/08
3/13/06,12/18/06
11/27/06,6/1/07
6/7/06,7/11/07
11/17/06,4/29/07
4/26/06,1/28/08
7/31/06,6/8/08
11/18/06,4/23/08
1/15/06,3/9/09
7/24/06,6/15/08
8/21/06,9/3/06
8/5/06,11/7/07
11/16/06,12/25/07
5/12/06,5/14/07
6/5/06,1/29/10
7/1/06,5/11/08
10/31/06,9/24/07
3/16/06,4/26/08
2/6/06,11/5/09
4/23/06,12/15/09
7/18/06,7/2/07
2/27/06,5/19/06
5/19/06,6/13/07
4/23/06,4/11/07
4/27/06,2/9/07
1/5/06,7/16/10
12/14/06,7/20/07
5/30/06,7/10/06
2/3/06,4/16/06
9/29/06,10/21/07
11/4/06,4/1/09
5/11/06,3/21/10
6/3/06,9/25/07
7/29/06,9/27/07
2/17/06,2/17/06
11/22/06,5/7/08
2/18/06,11/7/07
1/31/06,8/20/07
5/4/06,12/20/06
3/16/06,7/18/06
2/28/06,10/6/06
8/24/06,12/8/07
2/16/06,4/12/06
5/4/06,4/21/09
11/22/06,9/30/09
11/21/06,3/6/07
9/28/06,12/8/06
12/18/06,10/4/07
12/26/06,4/29/07
3/7/06,6/7/06
12/26/06,12/14/07
10/7/06,7/26/08
10/31/06,4/2/07
4/4/06,7/16/06
7/7/06,10/26/09
6/17/06,9/26/07
5/20/06,10/2/07
11/10/06,9/11/08
2/8/06,12/6/06
1/5/06,8/12/06
9/3/06,9/6/08
4/13/06,7/29/07
12/17/06,1/7/07
5/16/06,2/11/07
7/19/06,5/21/07
7/5/06,3/12/07
12/21/06,3/20/07
3/20/06,3/4/07
10/24/06,2/15/08
12/14/06,5/20/07
11/6/06,6/12/07
9/13/06,4/12/07
1/16/06,11/24/06
1/22/06,2/21/06
4/10/06,5/12/06
12/18/06,2/20/07
10/7/06,7/5/08
12/22/06,3/26/09
2/24/06,6/8/06
2/19/06,1/11/07
12/20/06,5/9/09
12/16/06,5/31/07
12/28/06,6/5/07
5/22/06,12/27/06
11/25/06,1/31/07
12/20/06,8/12/07
10/25/06,5/31/07
2/19/06,5/17/07
8/1/06,3/17/08
5/2/06,6/19/07
8/6/06,11/21/09
4/11/06,2/25/08
8/30/06,4/28/07
10/25/06,12/1/07
8/2/06,8/11/07
10/20/06,3/22/08
8/12/06,4/14/07
12/24/06,8/8/07
10/30/06,6/1/08
6/14/06,10/31/06
7/25/06,6/14/07
9/27/06,4/27/07
6/5/06,3/12/12
4/3/06,8/2/06
6/27/06,2/26/07
8/16/06,12/12/06
12/18/06,9/1/07
10/27/06,8/6/07
6/13/06,2/5/10
11/12/06,12/5/08
4/8/06,1/15/10
3/22/06,8/19/11
6/25/06,5/21/07
9/11/06,5/21/07
4/20/06,7/28/06
3/29/06,8/3/10
2/19/06,10/8/06
9/19/06,9/23/07
11/6/06,8/26/07
3/23/06,3/7/08
9/16/06,10/28/09
5/3/06,2/1/07
5/24/06,2/5/09
8/12/06,12/5/06
6/29/06,8/6/06
8/31/06,5/4/08
11/19/06,1/29/07
5/8/06,9/5/07
11/3/06,11/9/06
6/9/06,8/29/08
9/4/06,12/6/07
5/12/06,5/31/07
9/1/06,10/29/08
7/2/06,10/8/07
2/19/06,11/28/07
8/20/06,4/22/09
11/13/06,12/13/07
12/23/06,6/8/08
1/30/06,8/22/07
10/28/06,2/11/09
4/20/06,7/13/07
10/30/06,8/19/07
5/28/06,6/2/09
3/20/06,1/15/07
9/16/06,6/10/07
10/26/06,9/6/08
9/25/06,9/1/08
6/5/06,12/3/06
10/27/06,1/13/07
10/30/06,7/8/11
8/31/06,6/15/11
10/19/06,5/5/07
6/4/06,7/19/06
5/11/06,10/9/06
8/5/06,11/25/07
8/3/06,12/15/06
8/24/06,11/14/06
2/19/06,11/12/07
6/6/06,10/19/09
11/30/06,3/2/08
5/14/06,12/26/07
8/22/06,12/14/07
5/10/06,12/27/08
7/9/06,9/4/06
12/22/06,2/2/09
10/27/06,6/7/07
1/6/06,4/16/06
7/18/06,6/18/08
1/10/06,3/3/08
1/24/06,8/14/06
8/30/06,12/16/06
7/19/06,10/30/07
4/21/06,11/14/06
8/8/06,12/22/06
1/18/06,3/10/07
10/4/06,12/7/07
11/16/06,1/1/08
1/25/06,2/11/09
12/2/06,8/21/07
10/18/06,8/9/07
10/22/06,2/14/07
9/17/06,9/22/09
1/9/06,1/10/08
4/2/06,4/23/10
6/10/06,1/8/08
2/4/06,7/31/08
8/27/06,6/24/08
12/22/06,10/2/08
4/13/06,3/1/09
6/22/06,11/2/06
11/9/06,7/13/07
5/31/06,4/20/10
11/2/06,3/6/10
7/23/06,12/25/07
6/29/06,11/23/06
2/11/06,2/26/06
7/22/06,10/24/07
7/2/06,10/28/06
4/4/06,9/28/06
9/4/06,4/5/09
11/30/06,1/13/11
2/17/06,2/21/09
8/7/06,9/15/07
4/12/06,5/27/06
2/15/06,1/13/07
7/1/06,12/17/06
10/2/06,3/25/07
7/20/06,8/28/06
2/1/06,1/1/07
5/4/06,9/1/06
12/25/06,3/12/10
1/17/06,6/21/06
12/15/06,2/16/09
12/2/06,6/9/07
12/16/06,11/30/07
11/28/06,8/6/09
2/4/06,12/14/06
6/24/06,1/24/07
1/24/06,4/27/07
4/27/06,1/27/07
8/19/06,9/26/06
1/3/06,3/24/08
11/4/06,4/9/07
10/4/06,2/11/13
9/21/06,7/26/08
6/5/06,10/27/08
6/12/06,10/1/06
4/7/06,9/28/07
7/17/06,3/12/12
6/11/06,10/9/09
3/20/06,4/5/09
4/12/06,10/27/08
1/8/06,5/20/07
10/28/06,11/26/08
9/16/06,11/13/06
8/22/06,12/1/06
4/30/06,8/6/09
3/18/06,4/8/10
2/22/06,2/15/08
6/3/06,1/23/07
10/30/06,2/25/07
1/13/06,1/31/08
9/16/06,5/18/12
4/24/06,5/19/09
6/20/06,11/8/07
4/10/06,10/19/06
12/9/06,5/10/07
1/5/06,4/22/06
1/28/06,7/9/08
3/25/06,12/9/06
11/8/06,2/28/08
10/26/06,3/21/08
10/1/06,6/24/08
12/7/06,7/7/08
2/27/06,4/4/08
1/10/06,1/28/06
4/23/06,1/10/08
5/9/06,3/19/09
5/27/06,9/15/07
11/25/06,12/30/07
5/3/06,5/21/06
10/27/06,7/30/08
4/7/06,7/1/06
2/22/06,9/1/08
1/17/06,10/10/08
11/11/06,9/18/10
9/13/06,9/15/08
11/17/06,7/16/08
6/7/06,3/6/07
10/10/06,7/19/08
6/18/06,8/10/06
10/18/06,3/8/08
4/26/06,7/31/08
3/19/06,6/29/07
10/21/06,4/29/07
5/3/06,9/22/06
4/10/06,8/18/08
11/12/06,4/22/07
9/16/06,9/19/07
8/22/06,11/17/06
5/19/06,9/6/07
4/26/06,12/2/07
1/1/07,6/29/07
10/10/06,1/3/07
2/17/06,4/8/08
9/10/06,7/12/09
11/14/06,12/4/08
9/20/06,5/31/07
9/27/06,8/20/10
11/8/06,12/6/07
8/6/06,1/23/08
5/12/06,2/3/07
4/23/06,4/30/06
9/25/06,2/19/08
10/21/06,4/3/08
1/18/06,1/27/07
1/11/06,12/21/06
6/10/06,12/9/06
1/27/06,10/3/10
7/23/06,2/11/08
7/6/06,4/2/08
2/2/06,4/3/07
5/9/06,8/23/07
9/2/06,2/9/08
5/30/06,2/26/07
4/29/06,2/10/07
7/25/06,9/3/08
7/30/06,11/5/07
11/1/06,1/2/07
11/13/06,9/21/09
8/2/06,7/18/11
10/13/06,4/25/07
2/24/06,11/5/06
7/1/06,10/4/07
3/5/06,1/10/07
7/15/06,2/5/07
9/8/06,8/5/07
5/26/06,9/25/06
3/15/06,11/23/06
7/14/06,9/26/07
10/28/06,11/3/06
12/20/06,3/26/08
7/20/06,7/2/07
1/16/06,11/3/06
5/22/06,9/17/12
4/15/06,5/12/07
10/16/06,10/3/09
2/1/06,10/8/06
11/3/06,7/2/08
12/28/06,7/27/07
11/12/06,11/16/07
5/24/06,3/5/09
11/23/06,4/25/08
4/25/06,10/1/07
5/24/06,2/25/11
11/5/06,12/20/08
4/17/06,3/14/08
12/18/06,4/8/08
9/1/06,9/21/08
4/4/06,5/31/07
9/15/06,4/22/07
12/17/06,2/29/08
8/13/06,3/18/08
5/18/06,1/12/08
7/20/06,1/31/07
9/16/06,6/24/07
3/8/06,7/12/06
4/16/06,5/2/07
6/24/06,1/8/08
10/24/06,11/27/07
1/9/06,6/4/06
12/31/05,2/16/07
5/18/06,5/27/07
4/21/06,1/11/07
5/3/06,8/16/06
10/8/06,7/1/08
7/16/06,9/25/09
6/16/06,11/7/06
7/15/06,3/2/07
3/28/06,12/21/08
11/29/06,8/30/07
7/4/06,5/19/08
12/22/06,3/14/07
10/19/06,6/20/07
9/9/06,12/18/06
6/24/06,11/24/07
4/11/06,6/3/07
4/2/06,12/27/09
1/27/06,9/19/06
7/6/06,6/22/08
3/19/06,10/29/06
3/7/06,5/1/07
1/25/06,6/3/06
5/23/06,8/21/07
7/16/06,11/18/07
3/9/06,3/26/06
6/3/06,8/8/06
12/31/06,8/6/07
11/16/06,12/22/07
12/30/06,5/18/08
3/16/06,9/27/06
3/5/06,4/21/06
7/7/06,4/25/07
11/11/06,12/7/07
11/5/06,9/29/07
7/22/06,12/9/09
12/28/06,4/25/07
4/21/06,6/30/07
1/9/06,5/11/07
10/12/06,11/18/07
2/1/06,4/21/06
3/9/06,8/9/07
4/2/06,3/17/07
5/31/06,5/7/07
10/9/06,3/30/07
3/3/06,8/5/08
12/24/06,1/25/08
12/8/06,8/11/07
11/16/06,2/17/09
9/1/06,4/23/07
7/19/06,6/8/07
4/11/06,2/5/07
10/8/06,11/21/07
6/16/06,6/12/09
1/27/06,12/29/06
2/24/06,1/8/07
11/7/06,8/5/07
11/29/06,10/9/07
3/26/06,8/7/09
7/16/06,12/25/09
7/24/06,2/28/09
8/5/06,11/15/07
9/20/06,3/28/07
2/21/06,6/2/06
2/1/06,4/28/07
1/3/06,4/20/09
2/2/06,3/4/07
7/13/06,9/26/06
8/29/06,12/18/06
12/26/06,7/16/10
7/4/06,9/8/09
11/3/06,6/22/07
3/26/06,5/4/07
12/26/06,1/20/08
5/10/06,11/1/09
11/30/06,9/28/07
12/26/06,6/7/08
9/8/06,2/17/10
4/15/06,2/15/07
8/4/06,11/2/09
8/22/06,12/20/07
5/10/06,1/18/07
6/15/06,3/2/10
7/8/06,11/25/06
6/4/06,1/26/09
2/21/06,8/25/08
7/15/06,9/24/09
1/9/06,6/1/10
12/8/06,7/2/10
4/26/06,12/15/06
7/9/06,1/21/07
7/7/06,9/19/10
3/6/06,3/18/07
9/11/06,6/26/08
1/23/06,6/8/08
8/27/06,11/25/08
3/27/06,9/7/07
1/18/06,10/31/08
6/11/06,7/24/06
12/20/06,7/9/07
12/27/06,4/8/08
9/22/06,2/15/07
11/22/06,6/19/09
2/10/06,5/13/07
12/9/06,9/10/07
1/31/06,11/5/07
11/7/06,7/21/08
12/17/06,5/18/08
10/28/06,8/6/07
1/19/06,7/29/06
2/28/06,10/24/07
4/19/06,2/26/11
3/29/06,11/2/06
1/4/06,4/22/09
9/22/06,6/1/09
12/13/06,4/9/07
8/10/06,5/3/08
11/21/06,5/19/07
10/17/06,12/16/06
10/29/06,9/21/07
6/20/06,4/30/07
1/23/06,6/25/08
8/17/06,11/2/09
11/8/06,6/16/08
7/10/06,12/31/06
1/24/06,5/15/07
3/23/06,11/25/06
12/31/05,9/15/06
4/25/06,7/13/08
1/23/06,1/16/07
9/26/06,12/10/06
7/12/06,9/14/08
3/21/06,4/5/07
9/2/06,9/20/06
1/10/06,1/3/13
8/8/06,9/25/07
10/29/06,5/25/07
11/30/06,3/26/08
10/4/06,4/30/07
4/20/06,2/20/07
6/12/06,11/17/07
9/21/06,3/31/07
9/26/06,3/21/11
8/1/06,11/22/07
8/10/06,12/20/06
1/29/06,6/13/06
10/23/06,8/12/07
11/2/06,2/17/11
4/23/06,11/30/07
3/25/06,12/15/07